id,lng,lat,weight,serviceTime
下李-姜家,116.345229689764,28.0285734674058,0.0588,5
下李-陈家,116.342743608043,28.024138727833,0.0546,5
严家-廖家,116.342452845397,28.0195614412924,0.0408,5
严家-狮子山6组,116.339354770612,28.0183422281685,0.0678,5
严家-严家,116.341311017283,28.0174311149211,0.042,5
严家-破港村,116.340541641432,28.0126717259768,0.051,5
严家-肖家桥,116.338863645419,28.0147470717973,0.1008,5
严家-狮子山7组,116.334474590679,28.0172299542485,0.0693,5
下李-颜家,116.33271899,28.02294999,0.096,5
下李-何家渡,116.336337306539,28.025979743265,0.0627,5
斗门-上杨,116.339407053201,28.0305758312704,0.0521,5
斗门-廖家,116.338288215062,28.0317200847519,0.0666,5
斗门-陈家、胥家,116.341316027504,28.0341816413814,0.1,5
斗门-下李、廖家,116.347499163602,28.0338848344367,0.207,5
斗门-喻家,116.351741867268,28.0372584016191,0.096,5
中洲-西邓村,116.352025475481,28.0317397256324,0.0588,5
下李-龚张村6组,116.352017341368,28.0291074077008,0.081,5
下李-龚张7组,116.353475336642,28.0282068771598,0.084,5
中洲-后游邓,116.354960696205,28.0316451273298,0.111,5
中洲-头门村,116.360688179969,28.0301219773893,0.135,5
中洲-燕尾村,116.362495034477,28.0308177061826,0.081,5
中洲-黄家口,116.360374311654,28.0339150392206,0.123,5
艻口-上殷,116.358625327483,28.0398316527601,0.1329,5
艻口-下殷,116.355293887785,28.0432749655544,0.087,5
畲塘-汤家,116.355335884131,28.0447050196483,0.0498,5
畲塘-韩家,116.355419193561,28.0503393977543,0.066,5
蝉塘-廖家,116.387633485957,28.0882836163,0.2607,5
罗湖-章家,116.379173526622,28.0906580563226,0.186,5
罗湖-何家,116.377145248056,28.0918990966902,0.093,5
下饶-下饶,116.37014266217,28.0972447145391,0.1776,5
下饶-东甘,116.367782639102,28.0989371903924,0.0618,5
支村-陈孟,116.372508404041,28.1037708652417,0.1104,5
罗溪-罗家渡,116.380127182024,28.1094563799285,0.288,5
罗溪-栎壤,116.388356256096,28.1151778730596,0.1974,5
山背-八、九组,116.388350139557,28.13179285568,0.0792,5
山背-一、二、三组,116.38621090967,28.1336328621811,0.1932,5
山背-五、七组,116.383434284344,28.1313541132903,0.1329,5
山背-六组,116.384236864515,28.1296270190374,0.066,5
支村-傅坊,116.366324027867,28.1080007477382,0.1188,5
支村-支村,116.363223859297,28.107954442153,0.2373,5
支村-邱黄,116.359202260244,28.10820628723,0.075,5
下饶-黎家,116.362514156307,28.1009685388772,0.0507,5
下饶-西甘,116.364432008573,28.0991356155474,0.132,5
下饶-枧头,116.364518827,28.0943892969166,0.1347,5
观前-下易河湖,116.354848483172,28.0961621255777,0.156,5
官庄-官庄,116.354286297522,28.0905154126321,0.3672,5
华溪-袁家,116.361211260138,28.0908122986585,0.0606,5
华溪-万家,116.364470333798,28.0884903003402,0.1791,5
许家村-七-十组,116.374122307457,28.0811637681238,0.3099,5
许家村-三组,116.375988098879,28.0830442506313,0.2553,5
华溪-喻家蔡家,116.365753122343,28.0778010647063,0.1812,5
华溪-章杨,116.361852270133,28.0794587839883,0.1896,5
岗上-冷水,116.35557264681,28.0812086982525,0.27,5
烟墩-烟墩,116.348510388341,28.0804528255134,0.2328,5
铁堡-下邹,116.3434356707,28.0811943243509,0.0501,5
