id,lng,lat,weight,serviceTime
顾家村-上顾,116.282846520946,28.094189855862,0.06,5
顾家-下顾,116.280438237905,28.0976249709827,0.1356,5
顾家-地顾,116.279947262538,28.099922484373,0.0594,5
顾家-付家,116.276344856188,28.1014614752921,0.0246,5
鹏坊-詹家,116.271117702148,28.1009055387808,0.099,5
鹏坊-晒头,116.271511263324,28.0981369945578,0.0423,5
鹏坊-黄渡,116.273256403781,28.0883691811948,0,5
鹏坊-长湖姜家,116.271643726174,28.0909530877879,0,5
鹏坊-老居,116.268652789519,28.094206501332,0.1278,5
鹏坊-下边,116.267639116965,28.096274053308,0.1905,5
鹏坊-新居,116.266183652694,28.0942158423417,0.0837,5
鹏坊-东岸,116.263436030059,28.0927595983868,0.0663,5
新郭-新郭,116.258882602755,28.1026471765906,0.4989,5
老郭-老郭,116.256203000118,28.1050308240475,0.4935,5
老郭-徐家,116.259056035794,28.1071558998283,0.06,5
老郭-程家,116.264942260983,28.1063219333332,0.111,5
江园-茶堂山,116.277499445012,28.1078088087773,0.111,5
江园-周染,116.276580480919,28.1145394881694,0.3354,5
江园-江园,116.279589364485,28.1125753841834,0.1854,5
罗针-洲上邓家,116.29169978553,28.111486621656,0.1734,5
石溪-周湖熊,116.311898312673,28.1094737503072,0.0384,5
石溪-万家,116.308116266714,28.1080336035508,0.0516,5
石溪-吴家,116.303408051526,28.1038086514291,0.1404,5
石溪-黄顾桥,116.302728024679,28.1010823917785,0.0708,5
官洲-彭家,116.305125466572,28.09672152354,0.0894,5
官洲-邓家,116.308130475793,28.0968917329219,0.1044,5
官洲-洲沙,116.313390520822,28.0996974660088,0.1854,5
上游-下游,116.319487691856,28.0970877724799,0.1614,5
上游-上游,116.318049840229,28.0920107916272,0.1392,5
上游-下熊,116.319438336731,28.090366695815,0.0669,5
官洲-赵坊胡,116.31159318056,28.0901105592686,0.1746,5
官洲-新基何,116.308276182083,28.0913792269353,0.1056,5
灵山-田阪,116.301510419381,28.0877305897949,0,5
灵山-灵山,116.301830892006,28.0853593236837,0,5
官洲-姜吴陈,116.313742587757,28.0845048763478,0.1434,5
官洲-新姜,116.31691208338,28.0857729996364,0.0426,5
上游-肖公渡,116.318332238157,28.0834936922196,0.1353,5
上游-西徐,116.31986521819,28.0862498286013,0.0789,5
上游-东徐,116.323333931571,28.0855451587201,0.1779,5
铁堡-江家,116.324966615239,28.0808213395571,0.1782,5
铁堡-周怀,116.328401310409,28.0799531897465,0.1014,5
铁堡-新屋,116.333665574535,28.0810200291297,0.0939,5
铁堡-陈坊,116.334122011794,28.0855787614381,0.1188,5
铁堡-芜湖,116.333996039202,28.0886478754371,0.0924,5
观前-石子塘,116.340838996124,28.0943658942053,0.4404,5
观前-黄朝户,116.335894642557,28.0943655519493,0.0528,5
古港-徐黄,116.329589561875,28.094782144222,0.1104,5
古港-上陈,116.324637021051,28.0962030081457,0.1578,5
古港-横周,116.329270593925,28.0995391125573,0.1845,5
古港-直周,116.329767265507,28.1015200185065,0.1344,5
古港-周河陈,116.323478280536,28.102281154049,0.1539,5
古港-何刘,116.323608960344,28.1045507597418,0.0888,5
唱凯-钟家桥,116.316844392348,28.1093845861573,0.1314,5
江山-周山泗,116.310960260917,28.1244041042402,0.1104,5
江山-下江,116.314892656634,28.1256112433942,0.0876,5
江山-前江,116.31586162315,28.1272824570732,0.0759,5
江山-背江,116.315041574806,28.129052312135,0.1176,5
江山-晚田,116.315218506108,28.1303499208579,0.0294,5
江山-万坊许,116.315555949654,28.133044649955,0.0735,5
白水-上陈,116.318506969974,28.1349964982389,0.2145,5
江山-东李,116.314713883324,28.1349140262759,0.0456,5
江山-山上陈,116.31082705218,28.1311425567719,0.1068,5
江山-施坊傅,116.307383468741,28.1250131451356,0.1335,5
游鹤-万家,116.30332217773,28.128149629841,0.1827,5
游鹤-帅家,116.300652234765,28.1292539792364,0.387,5
北保-栎塘,116.295059087416,28.1298314263527,0.1728,5
游鹤-前后洋,116.295244225042,28.1256576561375,0.1275,5
北保-大房,116.293074646022,28.122115593649,0.1803,5
北保-小房,116.294031335512,28.1210589397646,0.132,5
游鹤-刘路寺,116.302948158461,28.122142119767,0.0564,5
石溪-河上后周,116.301915704015,28.1149974493268,0.1428,5
石溪-河上前周,116.304208589277,28.1142558086403,0.1284,5
石溪-刘孟娥村,116.310853922611,28.1121894339596,0.1512,5
石溪-张家,116.308019988108,28.1098145804557,0.0936,5
低洲-杨家,116.299626816745,28.0987550494344,0.1854,5
低洲-张家,116.296112060455,28.0895886998855,0.2949,5
观前-观前胡家,116.346457675005,28.098667116939,0.1503,5
唱凯-玔上支家,116.316058880239,28.1158722837224,0.1953,5
